id,condition,grade
7855801670,Minor Deferred,12
7920100045,Minor Deferred,7
8960000030,Limited Deferred,7
6388930390,Minor Deferred,9
8731900200,Minor Deferred,8
8029200135,Minor Deferred,7
1081200350,Limited Deferred,8
84000105,Minor Deferred,7
3756500060,Minor Deferred,7
7215720160,Minor Deferred,10
3574800520,Minor Deferred,7
2617300160,Limited Deferred,7
2558660270,Minor Deferred,7
2009000370,No Deferred,5
1836980160,Minor Deferred,9
3261020370,Limited Deferred,8
1755700060,No Deferred,7
4330600435,Minor Deferred,7
9542800700,Limited Deferred,7
1999700045,Minor Deferred,7
1762600070,Minor Deferred,10
1687900520,Limited Deferred,8
7234600798,Minor Deferred,8
3881900445,Minor Deferred,7
2254502445,Minor Deferred,6
5437810320,Limited Deferred,7
9158100075,Minor Deferred,7
3830630310,Minor Deferred,7
8123100045,Limited Deferred,7
3127200041,No Deferred,7
6661200320,Minor Deferred,7
11510310,Minor Deferred,9
825059270,Limited Deferred,10
8731951370,Limited Deferred,8
1954440060,Minor Deferred,8
2264500350,Limited Deferred,6
1115810060,Minor Deferred,8
9477200200,Minor Deferred,7
1432600560,Minor Deferred,6
2287000060,Limited Deferred,8
3663500060,Limited Deferred,7
3996900125,Minor Deferred,7
7796450200,Minor Deferred,8
7549802535,No Deferred,7
3278600320,Minor Deferred,8
2824079053,Minor Deferred,7
1222069094,Limited Deferred,7
3542300060,Limited Deferred,6
2222059065,Minor Deferred,8
7551300060,Minor Deferred,7
100600550,Limited Deferred,7
3211100860,Limited Deferred,6
3456000310,Limited Deferred,9
9526600140,Minor Deferred,8
7465900060,Minor Deferred,7
1222000055,Minor Deferred,6
6300000550,Minor Deferred,7
2310030510,Minor Deferred,8
1025049114,Minor Deferred,8
8677300550,Minor Deferred,9
4014400292,Minor Deferred,9
1102000196,Minor Deferred,8
257000138,Minor Deferred,6
46100204,Minor Deferred,9
1909600046,Minor Deferred,8
1250202145,Minor Deferred,8
7611200125,Limited Deferred,8
5611500140,Minor Deferred,10
7138000260,Minor Deferred,7
626059335,Minor Deferred,8
1922059282,Limited Deferred,8
705700390,Minor Deferred,7
7454001200,No Deferred,7
8682281200,Minor Deferred,8
7972000200,Limited Deferred,7
722059070,Limited Deferred,7
7202340400,Minor Deferred,7
8096000060,Minor Deferred,7
2424000060,No Deferred,7
9264902050,Minor Deferred,8
943100260,Minor Deferred,6
3677400445,No Deferred,7
1762600320,Minor Deferred,10
4058000060,No Deferred,7
7228500560,Minor Deferred,7
326069104,Minor Deferred,10
5152100060,Limited Deferred,9
3584000310,Limited Deferred,7
8150100045,Minor Deferred,6
1868901275,Significant Deferred,7
6131600075,Limited Deferred,6
9468200125,Limited Deferred,7
8029510030,Minor Deferred,9
2025069065,Minor Deferred,9
7899800890,Minor Deferred,6
3021059276,Limited Deferred,7
3797001895,Limited Deferred,6
3832710960,Limited Deferred,7
1310430400,Minor Deferred,9
1422300030,Minor Deferred,8
1105000588,Minor Deferred,7
3830630060,Minor Deferred,7
5101404898,No Deferred,7
7972601890,Limited Deferred,7
5127001620,Limited Deferred,7
9407100800,Minor Deferred,7
1873100060,Minor Deferred,8
8722101360,Minor Deferred,8
8644000060,Limited Deferred,7
3325069129,Minor Deferred,10
1400300055,Minor Deferred,5
2123039032,No Deferred,5
8078560140,Limited Deferred,7
3438500192,Minor Deferred,7
7974200510,Minor Deferred,7
2557000400,Minor Deferred,8
7960900060,Minor Deferred,11
4054500390,Limited Deferred,11
6378500125,Limited Deferred,7
1745100140,Limited Deferred,7
2976800796,Minor Deferred,7
4235400186,Minor Deferred,7
4215100060,Minor Deferred,8
9189700045,No Deferred,8
1126049053,Minor Deferred,9
2022069200,Minor Deferred,8
9412900055,Minor Deferred,6
1722059235,Limited Deferred,7
6874200960,Minor Deferred,6
7424700045,No Deferred,9
7202360350,Minor Deferred,9
5634500392,Limited Deferred,8
1509500060,Minor Deferred,9
7214810350,Minor Deferred,7
6647200060,Minor Deferred,7
9552700140,Minor Deferred,8
2200500350,Limited Deferred,7
6113400046,Limited Deferred,7
6619910140,Limited Deferred,8
1115450240,Minor Deferred,9
6073240060,Minor Deferred,8
9297300045,No Deferred,8
9510920070,Minor Deferred,10
5468730030,Minor Deferred,7
8079030390,Minor Deferred,8
600000152,Minor Deferred,7
1840000030,Minor Deferred,7
3225069065,Minor Deferred,10
3260800030,Minor Deferred,8
2747100024,Limited Deferred,7
5104530560,Minor Deferred,8
4330600350,Limited Deferred,7
5016001535,Limited Deferred,8
7280300196,Limited Deferred,8
8651520400,Minor Deferred,8
7171200445,Limited Deferred,6
3204800200,No Deferred,8
3416600800,No Deferred,8
7994700030,Minor Deferred,6
1860600135,No Deferred,10
4139480200,Minor Deferred,11
1328320800,Minor Deferred,8
7771300125,No Deferred,8
3422059208,Limited Deferred,8
9521101455,Limited Deferred,7
4337000335,Minor Deferred,6
325059286,Minor Deferred,9
2597650240,Minor Deferred,8
3353400435,Minor Deferred,7
7972000240,Minor Deferred,7
7520000520,Minor Deferred,6
3530210260,Minor Deferred,9
1959700550,Limited Deferred,9
1665400045,Significant Deferred,7
9542850320,Limited Deferred,9
3179100060,Minor Deferred,9
2946001550,Limited Deferred,7
8078490390,Minor Deferred,8
9550201550,Minor Deferred,7
191100045,No Deferred,9
5009600070,Minor Deferred,7
200350070,Minor Deferred,9
2877103726,No Deferred,7
405100295,Minor Deferred,7
4268200055,Minor Deferred,7
3126069068,Limited Deferred,7
1115300070,Minor Deferred,9
6414100671,Minor Deferred,8
7004200060,Limited Deferred,6
7852110140,Minor Deferred,8
3969300030,Minor Deferred,6
4048400070,Limited Deferred,6
808000070,Limited Deferred,7
7374200030,Minor Deferred,7
7325600160,Minor Deferred,4
2757000030,Minor Deferred,9
616000140,Limited Deferred,7
3363900111,No Deferred,7
9262800171,Limited Deferred,7
6607000126,No Deferred,7
5416510830,Minor Deferred,7
2201500030,Limited Deferred,7
325059171,Minor Deferred,7
952003285,Minor Deferred,9
3211290370,Minor Deferred,7
1072010350,Limited Deferred,9
8856950070,Minor Deferred,7
925059078,Minor Deferred,8
7855801090,Limited Deferred,8
723099065,Minor Deferred,7
6116500075,Minor Deferred,9
1118500030,Minor Deferred,10
424069250,Limited Deferred,8
3291800710,Minor Deferred,7
6838700060,Minor Deferred,7
2231500030,No Deferred,7
7683900200,Minor Deferred,9
8155830060,Minor Deferred,7
98020310,Minor Deferred,10
9423400140,Minor Deferred,7
1545804860,Minor Deferred,7
2883200160,Minor Deferred,7
7132300695,Minor Deferred,7
1726059053,Severe Deferred,6
624111000,Minor Deferred,10
808300310,Minor Deferred,7
8563040160,Minor Deferred,8
713500030,Minor Deferred,11
8651600160,Limited Deferred,8
9517200030,Limited Deferred,7
2460700700,Minor Deferred,7
1223039290,Minor Deferred,8
2890100060,Minor Deferred,7
7972600860,Minor Deferred,7
8857320070,Limited Deferred,9
4047200695,Minor Deferred,8
1653500070,Minor Deferred,8
1923000030,Limited Deferred,10
3649100320,No Deferred,7
7375300160,Limited Deferred,7
5175800060,Severe Deferred,8
1604601375,Minor Deferred,7
2473251090,Limited Deferred,7
9126100861,Minor Deferred,8
3420069065,Limited Deferred,7
6021501685,Limited Deferred,7
1151100070,Minor Deferred,8
8856950240,Minor Deferred,7
9385200055,Minor Deferred,9
7821200390,Minor Deferred,8
8078520310,Minor Deferred,7
1565950030,Minor Deferred,8
1560930070,Limited Deferred,10
6700400140,Minor Deferred,7
2422029094,Minor Deferred,5
1774220160,Limited Deferred,8
1525200060,Minor Deferred,9
1678400105,Minor Deferred,7
3426059070,Limited Deferred,7
824079032,Minor Deferred,7
2697100140,No Deferred,7
8724300030,Minor Deferred,8
8678500060,Minor Deferred,12
625049299,Minor Deferred,7
6073200075,No Deferred,7
6388900710,Minor Deferred,8
1442860160,Limited Deferred,8
7942600310,Minor Deferred,7
1545808560,No Deferred,7
936000060,Limited Deferred,7
9808650060,Limited Deferred,8
3754700160,Minor Deferred,7
305500140,Minor Deferred,8
5468750060,Minor Deferred,9
2944010240,Minor Deferred,11
3454000060,No Deferred,8
646910160,Minor Deferred,7
8564950390,Minor Deferred,8
2268400350,Minor Deferred,9
7504101040,Minor Deferred,10
11500890,Minor Deferred,10
9528102772,Minor Deferred,8
284000223,Minor Deferred,8
3353401710,No Deferred,7
8159610030,Minor Deferred,7
3179100435,Minor Deferred,8
822079033,Limited Deferred,6
8857600960,Limited Deferred,7
1774000200,Minor Deferred,7
2024069128,Minor Deferred,10
1049010390,Minor Deferred,7
7905370390,Minor Deferred,7
4140090240,No Deferred,8
4055700030,Minor Deferred,10
3775300030,Minor Deferred,7
2525300030,Limited Deferred,6
1324059104,Limited Deferred,8
2287000030,Limited Deferred,8
7702010030,Minor Deferred,9
1529200340,Minor Deferred,8
2122039094,Limited Deferred,9
1742800030,No Deferred,9
1796360350,No Deferred,7
6154500070,Minor Deferred,10
1843100340,Limited Deferred,8
8944290160,Minor Deferred,7
4166600473,Minor Deferred,9
7282300125,Minor Deferred,6
8658300340,Significant Deferred,4
2419600075,Minor Deferred,7
2621760350,Minor Deferred,8
1723049270,Limited Deferred,7
4123840310,Minor Deferred,8
2172000075,Minor Deferred,6
8651611170,Minor Deferred,10
8820902200,Minor Deferred,9
8651610890,Minor Deferred,11
1853080570,Minor Deferred,9
3629920030,Minor Deferred,7
1604602050,Minor Deferred,9
6844700810,Minor Deferred,7
66000070,Minor Deferred,5
6665800030,Minor Deferred,8
2205700350,Minor Deferred,7
5466000030,Limited Deferred,9
6189200125,Limited Deferred,8
9169600135,Minor Deferred,7
2625069070,Minor Deferred,9
8732131090,Limited Deferred,8
9286000240,Minor Deferred,11
1895000260,Minor Deferred,6
8691370400,Minor Deferred,9
5423010350,Limited Deferred,8
8562501040,Limited Deferred,7
2475200140,Limited Deferred,7
7942100310,No Deferred,7
3760000030,Limited Deferred,7
1727500340,Minor Deferred,7
9828702519,Minor Deferred,8
4432600075,Minor Deferred,9
7806300030,Limited Deferred,7
9274202270,Limited Deferred,7
7852030960,Minor Deferred,7
7852170140,Minor Deferred,9
7518503335,Minor Deferred,7
5467900070,Limited Deferred,8
1245002952,Minor Deferred,10
8906200070,Limited Deferred,7
5379805885,Minor Deferred,7
2769600560,Limited Deferred,7
9238901420,Limited Deferred,7
5113400431,Limited Deferred,7
3885805665,Minor Deferred,10
8121200810,Limited Deferred,8
5126310400,Minor Deferred,8
7322910030,Limited Deferred,9
2827100070,Minor Deferred,7
9276201895,No Deferred,7
4402700070,Limited Deferred,7
1922059046,Minor Deferred,6
925059288,Minor Deferred,9
4386700135,No Deferred,9
1923069078,Minor Deferred,10
1432400335,No Deferred,6
1180003090,Minor Deferred,6
726049331,Minor Deferred,8
3340401555,Limited Deferred,5
7453000070,Minor Deferred,6
4348800030,Limited Deferred,7
7202331420,Minor Deferred,7
3225079035,Minor Deferred,11
6381500700,Minor Deferred,6
339500160,Minor Deferred,9
1545807610,Minor Deferred,7
1843200240,Minor Deferred,7
4403600270,Minor Deferred,10
2008200060,Limited Deferred,7
1521069070,Limited Deferred,6
2459500310,Limited Deferred,7
6204420070,Minor Deferred,7
5694500105,Limited Deferred,7
5466410030,Minor Deferred,7
9485740340,Minor Deferred,8
622049114,Limited Deferred,12
2270000070,Minor Deferred,7
1310900260,Limited Deferred,8
224069094,Minor Deferred,8
7800800160,Limited Deferred,8
2944000240,Minor Deferred,11
4139400710,Limited Deferred,10
7899800860,Minor Deferred,9
2473420140,Limited Deferred,7
5000500055,Limited Deferred,6
4099500935,Limited Deferred,7
1373800295,No Deferred,10
4025300135,Minor Deferred,7
3294700310,Limited Deferred,6
8718500075,No Deferred,7
4309710240,Minor Deferred,9
5486800070,Minor Deferred,11
236400320,Minor Deferred,7
4376700570,Limited Deferred,8
8648100200,Minor Deferred,7
3624079046,Minor Deferred,7
1921069084,Limited Deferred,8
6431500140,Minor Deferred,9
2725069050,Minor Deferred,10
5307100060,Minor Deferred,7
7203102050,Minor Deferred,7
561000075,Limited Deferred,6
2436701180,No Deferred,7
809002765,Minor Deferred,8
4045500710,Limited Deferred,6
5104510270,Minor Deferred,7
98020350,Minor Deferred,10
1714900060,Limited Deferred,7
1189000030,No Deferred,8
2473360060,Minor Deferred,7
222069082,Limited Deferred,7
8669160310,Minor Deferred,7
1526069135,Minor Deferred,9
1088650310,Minor Deferred,8
8945200860,Limited Deferred,6
7853240200,Minor Deferred,9
7511800070,Limited Deferred,7
2998800125,Limited Deferred,7
3876300310,Minor Deferred,7
5419800510,Limited Deferred,7
192460060,Minor Deferred,7
7942601895,Minor Deferred,8
7504010570,Limited Deferred,11
1442740140,Limited Deferred,8
6909200575,No Deferred,8
2525069041,Minor Deferred,7
3620069036,Limited Deferred,7
2781280390,Minor Deferred,8
9542830350,Minor Deferred,7
1123049053,Minor Deferred,7
8018600765,Minor Deferred,7
3278600240,Minor Deferred,8
7846200070,Minor Deferred,9
662310400,Minor Deferred,9
8651100140,Limited Deferred,9
8682250350,Minor Deferred,8
3211230260,Minor Deferred,9
4233400340,Minor Deferred,7
7199350340,Minor Deferred,7
3904901710,Minor Deferred,7
240000058,No Deferred,8
6865200444,Minor Deferred,8
9498200046,Minor Deferred,7
1796380960,Minor Deferred,7
5631500868,Minor Deferred,8
3126049411,Minor Deferred,7
2321300390,Limited Deferred,8
3905040800,Limited Deferred,8
4379400260,Minor Deferred,9
5115000160,Limited Deferred,7
2826049234,Minor Deferred,7
6600700030,Minor Deferred,7
3904930240,Minor Deferred,8
9407110700,Minor Deferred,7
1682500160,Minor Deferred,8
8078570390,Minor Deferred,7
3010300240,Minor Deferred,7
9500900135,Limited Deferred,7
461001615,Limited Deferred,7
6411600069,Limited Deferred,6
7812800565,Limited Deferred,6
7548300731,Minor Deferred,9
8925100390,Limited Deferred,8
7010700292,Minor Deferred,7
9485951170,Limited Deferred,9
5437820310,No Deferred,6
582000135,Limited Deferred,7
3204800370,No Deferred,7
8832900550,Minor Deferred,8
9550204515,Minor Deferred,7
7199330390,Minor Deferred,7
6131600060,Limited Deferred,6
5379805460,No Deferred,7
7212652180,Minor Deferred,8
6379500640,No Deferred,9
4315700060,Minor Deferred,7
3329500060,Minor Deferred,7
4140090320,Limited Deferred,8
9385200045,Minor Deferred,9
7852180340,Minor Deferred,7
1545804340,Minor Deferred,7
2490200320,Minor Deferred,7
2218000335,Minor Deferred,7
922049078,Minor Deferred,6
2586800270,Minor Deferred,6
4338800370,Minor Deferred,6
7214700350,Limited Deferred,8
3226200105,Minor Deferred,7
2324039036,Limited Deferred,7
7849202231,Minor Deferred,7
5196410260,Minor Deferred,10
3760500116,Limited Deferred,8
2985800030,Minor Deferred,6
259900160,Minor Deferred,8
708000030,Limited Deferred,7
192460310,Minor Deferred,7
9412200260,Minor Deferred,7
1062100116,Minor Deferred,7
6798100662,Minor Deferred,7
1775920350,Minor Deferred,7
2525500260,Minor Deferred,7
6145600041,Minor Deferred,8
3300701615,Minor Deferred,8
5151600340,Limited Deferred,8
7613700521,No Deferred,9
2710600045,Limited Deferred,7
5101405124,Limited Deferred,7
6067910030,No Deferred,8
1959701890,Limited Deferred,8
1402200340,Minor Deferred,8
3558900070,Minor Deferred,7
7846700310,Limited Deferred,7
3348401740,Minor Deferred,6
3013300288,Minor Deferred,8
7852070060,Minor Deferred,11
5029450160,Limited Deferred,7
3526069070,Minor Deferred,8
5104540240,Minor Deferred,10
3438500486,Limited Deferred,7
5102400105,Minor Deferred,7
2346200030,Minor Deferred,9
1321710030,Minor Deferred,8
7853290030,Minor Deferred,7
1566100400,Minor Deferred,6
1775800800,Minor Deferred,7
9133600075,Minor Deferred,8
5450900060,No Deferred,10
1402600700,Minor Deferred,8
8024200350,Minor Deferred,6
3121500340,Minor Deferred,9
7697870860,Minor Deferred,7
7527200030,No Deferred,8
2013200390,Minor Deferred,7
766500030,Minor Deferred,7
6664000030,Minor Deferred,8
9349900105,Minor Deferred,5
1895000045,Minor Deferred,6
6205500030,Significant Deferred,6
7011200260,Minor Deferred,7
41000454,Minor Deferred,5
7203600550,Limited Deferred,6
9477200560,Limited Deferred,7
4022907770,Minor Deferred,8
5231000060,No Deferred,6
6055000310,Limited Deferred,9
3216900060,Minor Deferred,8
7967200060,Limited Deferred,7
8077210350,Minor Deferred,9
7203000640,Limited Deferred,7
2988000070,Minor Deferred,7
3832200070,No Deferred,7
3670500710,No Deferred,7
8820903380,Minor Deferred,7
4233400400,Minor Deferred,7
3793500550,Minor Deferred,7
6431000270,No Deferred,7
2225059214,Limited Deferred,12
7694800270,Minor Deferred,8
2171400197,Minor Deferred,8
2473400340,No Deferred,7
3530490070,Limited Deferred,8
1932300075,Minor Deferred,7
2525000510,Minor Deferred,7
1853000510,Minor Deferred,11
1742800060,No Deferred,8
2723089104,Minor Deferred,7
2619950350,Minor Deferred,8
4021100045,Limited Deferred,8
731500200,Minor Deferred,9
2591820310,Limited Deferred,8
3626039299,Limited Deferred,8
9346980140,Limited Deferred,8
6613000140,Limited Deferred,9
8159610060,Minor Deferred,7
7830800339,Minor Deferred,8
1588600045,Minor Deferred,6
826069046,Limited Deferred,9
1771000890,Minor Deferred,7
3300701170,Minor Deferred,6
7340500270,Minor Deferred,8
9277200111,Limited Deferred,7
293720140,Minor Deferred,7
579003610,Limited Deferred,7
1138020200,Minor Deferred,7
3432500200,Minor Deferred,6
1563102435,No Deferred,8
3959400710,No Deferred,7
8682300890,Minor Deferred,8
4385700765,No Deferred,7
5149300200,Minor Deferred,7
9323600060,Limited Deferred,9
9273200140,Minor Deferred,10
9542300320,Limited Deferred,9
770000045,Limited Deferred,8
6979900390,Minor Deferred,8
6379500159,Minor Deferred,8
826079094,Minor Deferred,7
8856940060,Minor Deferred,7
2972300060,No Deferred,7
3575200070,Minor Deferred,8
8146100270,Limited Deferred,8
8648200030,No Deferred,7
208500160,No Deferred,8
1196003428,Minor Deferred,10
5104450990,Minor Deferred,8
3343901234,Limited Deferred,7
226039214,Minor Deferred,7
1623300160,Minor Deferred,7
2205500575,Limited Deferred,7
4040800810,Limited Deferred,8
2612000390,Minor Deferred,8
3814400125,Minor Deferred,7
7300400060,Minor Deferred,9
1954700695,No Deferred,10
7230200340,No Deferred,7
3191000240,No Deferred,6
1139000069,Minor Deferred,8
5693500270,Limited Deferred,7
686500030,Limited Deferred,8
8731901940,Limited Deferred,8
2688100071,Minor Deferred,7
2423069155,Limited Deferred,7
2329500260,Limited Deferred,7
2608300030,Limited Deferred,7
1494300060,Limited Deferred,7
7504101230,Minor Deferred,9
8081020370,Minor Deferred,11
1446800511,Minor Deferred,6
1623049062,Minor Deferred,6
6145601000,Minor Deferred,7
205000520,Minor Deferred,9
3885805935,No Deferred,8
7852020640,Minor Deferred,8
6838800140,Limited Deferred,12
4083305445,Minor Deferred,7
7855801610,No Deferred,9
7940700260,Minor Deferred,8
8854100350,Minor Deferred,9
4365200860,Minor Deferred,6
3904980030,Minor Deferred,8
7843500070,Minor Deferred,8
6067900060,No Deferred,8
7202340960,Minor Deferred,7
1786640070,Minor Deferred,8
259600260,Limited Deferred,7
7234600903,Minor Deferred,8
4307350200,Minor Deferred,7
3276930400,Minor Deferred,9
4045100075,Minor Deferred,11
1421069208,Minor Deferred,8
4057300200,Minor Deferred,7
1922059135,Limited Deferred,6
5014600240,Minor Deferred,9
1565900070,Minor Deferred,7
3121059033,Limited Deferred,5
6799300270,Minor Deferred,8
2021200370,No Deferred,9
726049190,Limited Deferred,7
4006000251,Minor Deferred,6
3362400640,No Deferred,7
1610000016,Minor Deferred,6
7376300060,Minor Deferred,7
7300200550,Minor Deferred,8
2061100570,Minor Deferred,8
8856890200,Limited Deferred,8
8731951670,Limited Deferred,8
4037200075,Minor Deferred,7
5066400483,Limited Deferred,5
4167300310,Limited Deferred,7
8682262400,Minor Deferred,8
6777800160,Limited Deferred,8
1402950550,Minor Deferred,8
2843200070,Minor Deferred,7
6450303785,Minor Deferred,7
9429500045,Limited Deferred,7
1443300140,Minor Deferred,8
108000127,Minor Deferred,8
1081300200,Limited Deferred,8
8818900060,Limited Deferred,7
3395050060,Minor Deferred,9
7197350070,Minor Deferred,7
9510900270,Limited Deferred,7
3905081070,Minor Deferred,8
2322069114,Limited Deferred,7
5637500070,Minor Deferred,8
4164100160,Minor Deferred,7
4136890260,Minor Deferred,8
3056800160,Minor Deferred,7
3654800200,Minor Deferred,7
2296500036,Limited Deferred,8
623069068,No Deferred,8
1865820370,Limited Deferred,7
1723049033,Minor Deferred,5
2359300030,Minor Deferred,7
6403310060,Minor Deferred,8
1937300270,Minor Deferred,10
4137050060,Minor Deferred,8
2310000240,Limited Deferred,7
3955900830,Minor Deferred,7
8665050060,Minor Deferred,8
3330500875,Limited Deferred,7
3327020400,Limited Deferred,8
1250700060,Minor Deferred,7
4039300400,Minor Deferred,7
6665800060,No Deferred,8
7504110030,Minor Deferred,10
7805450810,Minor Deferred,10
6306400140,Minor Deferred,7
8802400416,Minor Deferred,7
6204400270,Minor Deferred,7
9536602080,Minor Deferred,7
3826000070,Minor Deferred,6
5101405335,Minor Deferred,7
2349300060,Significant Deferred,6
7749500370,Minor Deferred,8
2436701200,No Deferred,7
7871500070,No Deferred,8
3323500030,Minor Deferred,7
2110200036,Limited Deferred,7
510002519,Minor Deferred,7
1387300070,Minor Deferred,7
9465910070,Limited Deferred,8
2324800070,Minor Deferred,9
1962200435,Minor Deferred,8
8562890700,Minor Deferred,8
3298700946,Minor Deferred,6
880000189,Minor Deferred,7
643500030,Minor Deferred,7
8566100200,Limited Deferred,9
4298100240,Minor Deferred,9
3275780030,Limited Deferred,8
8648220270,Limited Deferred,7
1923000160,Minor Deferred,9
7574910860,Minor Deferred,10
2296500136,Minor Deferred,9
3278600710,Minor Deferred,8
2460700260,Limited Deferred,7
3188100400,No Deferred,7
9406520830,Minor Deferred,7
3387900390,No Deferred,7
1596600024,No Deferred,7
7625701891,Limited Deferred,6
3224800075,Limited Deferred,7
7526800200,Minor Deferred,8
3329530200,Minor Deferred,7
2115200125,Limited Deferred,7
6623400135,Minor Deferred,8
103000116,Limited Deferred,7
2768301525,Minor Deferred,8
739980260,Minor Deferred,8
4302200695,Minor Deferred,6
1431700370,No Deferred,7
7524000030,Minor Deferred,7
4046500320,Minor Deferred,7
4325000125,Limited Deferred,7
3456000160,Limited Deferred,9
9297301580,Minor Deferred,7
2465400036,Minor Deferred,7
5412200270,Limited Deferred,7
1109000390,Minor Deferred,8
8730000270,Minor Deferred,8
7937600830,Minor Deferred,7
3395070640,Minor Deferred,7
8663280160,Minor Deferred,7
6151800624,Limited Deferred,6
8594400370,Minor Deferred,7
2301400640,No Deferred,7
4441300240,Limited Deferred,9
7714000070,Minor Deferred,8
3432500486,Limited Deferred,6
5466420030,Minor Deferred,7
1324079046,Minor Deferred,7
2768301715,Minor Deferred,6
3332000135,Limited Deferred,6
65000400,No Deferred,7
8820901670,Minor Deferred,9
8712100575,No Deferred,9
6116500341,Limited Deferred,7
4167300030,Minor Deferred,7
2925059135,Minor Deferred,9
7708300140,Minor Deferred,7
4139430340,Minor Deferred,10
3812400070,Minor Deferred,6
9455200445,Minor Deferred,8
6203000160,Minor Deferred,7
7517500611,Minor Deferred,8
8691300860,Minor Deferred,10
5489200435,Minor Deferred,7
510002065,Minor Deferred,7
252000400,Limited Deferred,7
